,channel,name,tempo,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_name,angle,prior_midi_note,prior_note_name,prior_octave
1062,1.0,,,64.0,64.0,15920,82.91666666666666,5.0,4.0,E,120,65.0,B,5.0
1064,1.0,,,72.0,64.0,16000,83.33333333333333,6.0,0.0,C,0,64.0,E,5.0
1066,1.0,,,69.0,64.0,16008,83.375,5.0,9.0,D#,270,72.0,C,6.0
1068,1.0,,,64.0,64.0,16040,83.54166666666666,5.0,4.0,E,120,69.0,D#,5.0
1070,1.0,,,64.0,64.0,16096,83.83333333333333,5.0,4.0,E,120,64.0,E,5.0
1072,1.0,,,65.0,64.0,16128,84.0,5.0,5.0,B,150,64.0,E,5.0
1074,1.0,,,72.0,64.0,16136,84.04166666666666,6.0,0.0,C,0,65.0,B,5.0
1076,1.0,,,72.0,64.0,16168,84.20833333333333,6.0,0.0,C,0,72.0,C,6.0
1078,1.0,,,65.0,64.0,16176,84.25,5.0,5.0,B,150,72.0,C,6.0
1080,1.0,,,67.0,64.0,16256,84.66666666666666,5.0,7.0,C#,210,65.0,B,5.0
1082,1.0,,,74.0,64.0,16264,84.70833333333333,6.0,2.0,D,60,67.0,C#,5.0
1084,1.0,,,74.0,64.0,16296,84.875,6.0,2.0,D,60,74.0,D,6.0
1086,1.0,,,74.0,64.0,16304,84.91666666666666,6.0,2.0,D,60,74.0,D,6.0
1088,1.0,,,72.0,64.0,16320,85.0,6.0,0.0,C,0,74.0,D,6.0
1090,1.0,,,71.0,64.0,16336,85.08333333333333,5.0,11.0,F,330,72.0,C,6.0
1092,1.0,,,67.0,64.0,16352,85.16666666666666,5.0,7.0,C#,210,71.0,F,5.0
1094,1.0,,,64.0,64.0,16360,85.20833333333333,5.0,4.0,E,120,67.0,C#,5.0
1096,1.0,,,64.0,64.0,16392,85.375,5.0,4.0,E,120,64.0,E,5.0
1098,1.0,,,60.0,64.0,16400,85.41666666666666,5.0,0.0,C,0,64.0,E,5.0
1100,1.0,,,68.0,64.0,16480,85.83333333333333,5.0,8.0,G#,240,60.0,C,5.0
1102,1.0,,,68.0,64.0,16488,85.875,5.0,8.0,G#,240,68.0,G#,5.0
1104,1.0,,,68.0,64.0,16520,86.04166666666666,5.0,8.0,G#,240,68.0,G#,5.0
1106,1.0,,,68.0,64.0,16552,86.20833333333333,5.0,8.0,G#,240,68.0,G#,5.0
1108,1.0,,,70.0,64.0,16560,86.25,5.0,10.0,A#,300,68.0,G#,5.0
1110,1.0,,,67.0,64.0,16592,86.41666666666666,5.0,7.0,C#,210,70.0,A#,5.0
1112,1.0,,,64.0,64.0,16600,86.45833333333333,5.0,4.0,E,120,67.0,C#,5.0
1114,1.0,,,64.0,64.0,16632,86.625,5.0,4.0,E,120,64.0,E,5.0
1116,1.0,,,60.0,64.0,16640,86.66666666666666,5.0,0.0,C,0,64.0,E,5.0
1118,1.0,,,68.0,64.0,16720,87.08333333333333,5.0,8.0,G#,240,60.0,C,5.0
1120,1.0,,,68.0,64.0,16728,87.125,5.0,8.0,G#,240,68.0,G#,5.0
1122,1.0,,,68.0,64.0,16760,87.29166666666666,5.0,8.0,G#,240,68.0,G#,5.0
1124,1.0,,,68.0,64.0,16792,87.45833333333333,5.0,8.0,G#,240,68.0,G#,5.0
1126,1.0,,,70.0,64.0,16800,87.5,5.0,10.0,A#,300,68.0,G#,5.0
1128,1.0,,,67.0,64.0,16808,87.54166666666666,5.0,7.0,C#,210,70.0,A#,5.0
1130,1.0,,,68.0,64.0,17008,88.58333333333333,5.0,8.0,G#,240,67.0,C#,5.0
1132,1.0,,,68.0,64.0,17016,88.625,5.0,8.0,G#,240,68.0,G#,5.0
1134,1.0,,,68.0,64.0,17048,88.79166666666666,5.0,8.0,G#,240,68.0,G#,5.0
1136,1.0,,,68.0,64.0,17080,88.95833333333333,5.0,8.0,G#,240,68.0,G#,5.0
1138,1.0,,,70.0,64.0,17088,89.0,5.0,10.0,A#,300,68.0,G#,5.0
1140,1.0,,,67.0,64.0,17120,89.16666666666666,5.0,7.0,C#,210,70.0,A#,5.0
1142,1.0,,,64.0,64.0,17128,89.20833333333333,5.0,4.0,E,120,67.0,C#,5.0
1144,1.0,,,64.0,64.0,17160,89.375,5.0,4.0,E,120,64.0,E,5.0
1146,1.0,,,60.0,64.0,17168,89.41666666666666,5.0,0.0,C,0,64.0,E,5.0
1148,1.0,,,66.0,64.0,17248,89.83333333333333,5.0,6.0,F#,180,60.0,C,5.0
1150,1.0,,,66.0,64.0,17256,89.875,5.0,6.0,F#,180,66.0,F#,5.0
1152,1.0,,,66.0,64.0,17288,90.04166666666666,5.0,6.0,F#,180,66.0,F#,5.0
1154,1.0,,,66.0,64.0,17320,90.20833333333333,5.0,6.0,F#,180,66.0,F#,5.0
1156,1.0,,,66.0,64.0,17328,90.25,5.0,6.0,F#,180,66.0,F#,5.0
1158,1.0,,,71.0,64.0,17360,90.41666666666666,5.0,11.0,F,330,66.0,F#,5.0
1160,1.0,,,67.0,64.0,17440,90.83333333333333,5.0,7.0,C#,210,71.0,F,5.0
1162,1.0,,,72.0,64.0,17520,91.25,6.0,0.0,C,0,67.0,C#,5.0
1164,1.0,,,69.0,64.0,17528,91.29166666666666,5.0,9.0,D#,270,72.0,C,6.0
1166,1.0,,,64.0,64.0,17560,91.45833333333333,5.0,4.0,E,120,69.0,D#,5.0
1168,1.0,,,64.0,64.0,17616,91.75,5.0,4.0,E,120,64.0,E,5.0
1170,1.0,,,65.0,64.0,17648,91.91666666666666,5.0,5.0,B,150,64.0,E,5.0
1172,1.0,,,72.0,64.0,17656,91.95833333333333,6.0,0.0,C,0,65.0,B,5.0
1174,1.0,,,72.0,64.0,17688,92.125,6.0,0.0,C,0,72.0,C,6.0
1176,1.0,,,65.0,64.0,17696,92.16666666666666,5.0,5.0,B,150,72.0,C,6.0
1178,1.0,,,67.0,64.0,17776,92.58333333333333,5.0,7.0,C#,210,65.0,B,5.0
1180,1.0,,,77.0,64.0,17792,92.66666666666666,6.0,5.0,B,150,67.0,C#,5.0
1182,1.0,,,77.0,64.0,17808,92.75,6.0,5.0,B,150,77.0,B,6.0
1184,1.0,,,77.0,64.0,17824,92.83333333333333,6.0,5.0,B,150,77.0,B,6.0
1186,1.0,,,76.0,64.0,17840,92.91666666666666,6.0,4.0,E,120,77.0,B,6.0
1188,1.0,,,74.0,64.0,17856,93.0,6.0,2.0,D,60,76.0,E,6.0
1190,1.0,,,72.0,64.0,17872,93.08333333333333,6.0,0.0,C,0,74.0,D,6.0
1192,1.0,,,69.0,64.0,17880,93.125,5.0,9.0,D#,270,72.0,C,6.0
1194,1.0,,,65.0,64.0,17912,93.29166666666666,5.0,5.0,B,150,69.0,D#,5.0
1196,1.0,,,64.0,64.0,17920,93.33333333333333,5.0,4.0,E,120,65.0,B,5.0
1198,1.0,,,72.0,64.0,18000,93.75,6.0,0.0,C,0,64.0,E,5.0
1200,1.0,,,69.0,64.0,18008,93.79166666666666,5.0,9.0,D#,270,72.0,C,6.0
1202,1.0,,,64.0,64.0,18040,93.95833333333333,5.0,4.0,E,120,69.0,D#,5.0
1204,1.0,,,64.0,64.0,18096,94.25,5.0,4.0,E,120,64.0,E,5.0
1206,1.0,,,65.0,64.0,18128,94.41666666666666,5.0,5.0,B,150,64.0,E,5.0
1208,1.0,,,72.0,64.0,18136,94.45833333333333,6.0,0.0,C,0,65.0,B,5.0
1210,1.0,,,72.0,64.0,18168,94.625,6.0,0.0,C,0,72.0,C,6.0
1212,1.0,,,65.0,64.0,18176,94.66666666666666,5.0,5.0,B,150,72.0,C,6.0
1214,1.0,,,67.0,64.0,18256,95.08333333333333,5.0,7.0,C#,210,65.0,B,5.0
1216,1.0,,,74.0,64.0,18264,95.125,6.0,2.0,D,60,67.0,C#,5.0
1218,1.0,,,74.0,64.0,18296,95.29166666666666,6.0,2.0,D,60,74.0,D,6.0
1220,1.0,,,74.0,64.0,18304,95.33333333333333,6.0,2.0,D,60,74.0,D,6.0
1222,1.0,,,72.0,64.0,18320,95.41666666666666,6.0,0.0,C,0,74.0,D,6.0
1224,1.0,,,71.0,64.0,18336,95.5,5.0,11.0,F,330,72.0,C,6.0
1226,1.0,,,67.0,64.0,18352,95.58333333333333,5.0,7.0,C#,210,71.0,F,5.0
1228,1.0,,,64.0,64.0,18360,95.625,5.0,4.0,E,120,67.0,C#,5.0
1230,1.0,,,64.0,64.0,18392,95.79166666666666,5.0,4.0,E,120,64.0,E,5.0
1232,1.0,,,60.0,64.0,18400,95.83333333333333,5.0,0.0,C,0,64.0,E,5.0
1240,2.0,,,50.0,64.0,18400,95.83333333333333,4.0,2.0,D,60,60.0,C,5.0
1242,2.0,,,50.0,64.0,18408,95.875,4.0,2.0,D,60,50.0,D,4.0
1244,2.0,,,50.0,64.0,18440,96.04166666666666,4.0,2.0,D,60,50.0,D,4.0
1246,2.0,,,50.0,64.0,18472,96.20833333333333,4.0,2.0,D,60,50.0,D,4.0
1248,2.0,,,50.0,64.0,18480,96.25,4.0,2.0,D,60,50.0,D,4.0
1250,2.0,,,67.0,64.0,18512,96.41666666666666,5.0,7.0,C#,210,50.0,D,4.0
1252,2.0,,,55.0,64.0,18592,96.83333333333333,4.0,7.0,C#,210,67.0,C#,5.0
1254,2.0,,,55.0,64.0,18672,97.25,4.0,7.0,C#,210,55.0,C#,4.0
1256,2.0,,,52.0,64.0,18728,97.54166666666666,4.0,4.0,E,120,55.0,C#,4.0
1258,2.0,,,48.0,64.0,18784,97.83333333333333,4.0,0.0,C,0,52.0,E,4.0
1260,2.0,,,53.0,64.0,18840,98.125,4.0,5.0,B,150,48.0,C,4.0
1262,2.0,,,55.0,64.0,18872,98.29166666666666,4.0,7.0,C#,210,53.0,B,4.0
1264,2.0,,,54.0,64.0,18904,98.45833333333333,4.0,6.0,F#,180,55.0,C#,4.0
1266,2.0,,,53.0,64.0,18912,98.5,4.0,5.0,B,150,54.0,F#,4.0
1268,2.0,,,52.0,64.0,18944,98.66666666666666,4.0,4.0,E,120,53.0,B,4.0
1270,2.0,,,60.0,64.0,18960,98.75,5.0,0.0,C,0,52.0,E,4.0
1272,2.0,,,64.0,64.0,18976,98.83333333333333,5.0,4.0,E,120,60.0,C,5.0
1274,2.0,,,65.0,64.0,18992,98.91666666666666,5.0,5.0,B,150,64.0,E,5.0
1276,2.0,,,62.0,64.0,19024,99.08333333333333,5.0,2.0,D,60,65.0,B,5.0
1278,2.0,,,64.0,64.0,19032,99.125,5.0,4.0,E,120,62.0,D,5.0
1280,2.0,,,60.0,64.0,19064,99.29166666666666,5.0,0.0,C,0,64.0,E,5.0
1282,2.0,,,57.0,64.0,19096,99.45833333333333,4.0,9.0,D#,270,60.0,C,5.0
1284,2.0,,,59.0,64.0,19104,99.5,4.0,11.0,F,330,57.0,D#,4.0
1286,2.0,,,55.0,64.0,19112,99.54166666666666,4.0,7.0,C#,210,59.0,F,4.0
1288,2.0,,,55.0,64.0,19168,99.83333333333333,4.0,7.0,C#,210,55.0,C#,4.0
1290,2.0,,,52.0,64.0,19224,100.125,4.0,4.0,E,120,55.0,C#,4.0
1292,2.0,,,48.0,64.0,19280,100.41666666666666,4.0,0.0,C,0,52.0,E,4.0
1294,2.0,,,53.0,64.0,19336,100.70833333333333,4.0,5.0,B,150,48.0,C,4.0
1296,2.0,,,55.0,64.0,19368,100.875,4.0,7.0,C#,210,53.0,B,4.0
1298,2.0,,,54.0,64.0,19400,101.04166666666666,4.0,6.0,F#,180,55.0,C#,4.0
1300,2.0,,,53.0,64.0,19408,101.08333333333333,4.0,5.0,B,150,54.0,F#,4.0
1302,2.0,,,52.0,64.0,19440,101.25,4.0,4.0,E,120,53.0,B,4.0
1304,2.0,,,60.0,64.0,19456,101.33333333333333,5.0,0.0,C,0,52.0,E,4.0
1306,2.0,,,64.0,64.0,19472,101.41666666666666,5.0,4.0,E,120,60.0,C,5.0
1308,2.0,,,65.0,64.0,19488,101.5,5.0,5.0,B,150,64.0,E,5.0
1310,2.0,,,62.0,64.0,19520,101.66666666666666,5.0,2.0,D,60,65.0,B,5.0
1312,2.0,,,64.0,64.0,19528,101.70833333333333,5.0,4.0,E,120,62.0,D,5.0
1314,2.0,,,60.0,64.0,19560,101.875,5.0,0.0,C,0,64.0,E,5.0
1316,2.0,,,57.0,64.0,19592,102.04166666666666,4.0,9.0,D#,270,60.0,C,5.0
1318,2.0,,,59.0,64.0,19600,102.08333333333333,4.0,11.0,F,330,57.0,D#,4.0
1320,2.0,,,55.0,64.0,19608,102.125,4.0,7.0,C#,210,59.0,F,4.0
1322,2.0,,,48.0,64.0,19664,102.41666666666666,4.0,0.0,C,0,55.0,C#,4.0
1324,2.0,,,55.0,64.0,19720,102.70833333333333,4.0,7.0,C#,210,48.0,C,4.0
1326,2.0,,,60.0,64.0,19776,103.0,5.0,0.0,C,0,55.0,C#,4.0
1328,2.0,,,53.0,64.0,19808,103.16666666666666,4.0,5.0,B,150,60.0,C,5.0
1330,2.0,,,60.0,64.0,19864,103.45833333333333,5.0,0.0,C,0,53.0,B,4.0
1332,2.0,,,60.0,64.0,19872,103.5,5.0,0.0,C,0,60.0,C,5.0
1334,2.0,,,53.0,64.0,19904,103.66666666666666,4.0,5.0,B,150,60.0,C,5.0
1336,2.0,,,48.0,64.0,19936,103.83333333333333,4.0,0.0,C,0,53.0,B,4.0
1338,2.0,,,52.0,64.0,19992,104.125,4.0,4.0,E,120,48.0,C,4.0
1340,2.0,,,55.0,64.0,20048,104.41666666666666,4.0,7.0,C#,210,52.0,E,4.0
1342,2.0,,,60.0,64.0,20056,104.45833333333333,5.0,0.0,C,0,55.0,C#,4.0
1344,2.0,,,79.0,64.0,20088,104.625,6.0,7.0,C#,210,60.0,C,5.0
1346,2.0,,,79.0,64.0,20120,104.79166666666666,6.0,7.0,C#,210,79.0,C#,6.0
1348,2.0,,,79.0,64.0,20128,104.83333333333333,6.0,7.0,C#,210,79.0,C#,6.0
1350,2.0,,,55.0,64.0,20160,105.0,4.0,7.0,C#,210,79.0,C#,6.0
1352,2.0,,,48.0,64.0,20192,105.16666666666666,4.0,0.0,C,0,55.0,C#,4.0
1354,2.0,,,55.0,64.0,20248,105.45833333333333,4.0,7.0,C#,210,48.0,C,4.0
1356,2.0,,,60.0,64.0,20304,105.75,5.0,0.0,C,0,55.0,C#,4.0
1358,2.0,,,53.0,64.0,20336,105.91666666666666,4.0,5.0,B,150,60.0,C,5.0
1360,2.0,,,60.0,64.0,20392,106.20833333333333,5.0,0.0,C,0,53.0,B,4.0
1362,2.0,,,60.0,64.0,20400,106.25,5.0,0.0,C,0,60.0,C,5.0
1364,2.0,,,53.0,64.0,20432,106.41666666666666,4.0,5.0,B,150,60.0,C,5.0
1366,2.0,,,48.0,64.0,20464,106.58333333333333,4.0,0.0,C,0,53.0,B,4.0
1368,2.0,,,56.0,64.0,20496,106.75,4.0,8.0,G#,240,48.0,C,4.0
1370,2.0,,,58.0,64.0,20552,107.04166666666666,4.0,10.0,A#,300,56.0,G#,4.0
1372,2.0,,,60.0,64.0,20608,107.33333333333333,5.0,0.0,C,0,58.0,A#,4.0
1374,2.0,,,55.0,64.0,20664,107.625,4.0,7.0,C#,210,60.0,C,5.0
1376,2.0,,,55.0,64.0,20672,107.66666666666666,4.0,7.0,C#,210,55.0,C#,4.0
1378,2.0,,,48.0,64.0,20704,107.83333333333333,4.0,0.0,C,0,55.0,C#,4.0
1380,2.0,,,48.0,64.0,20736,108.0,4.0,0.0,C,0,48.0,C,4.0
1382,2.0,,,55.0,64.0,20792,108.29166666666666,4.0,7.0,C#,210,48.0,C,4.0
1384,2.0,,,60.0,64.0,20848,108.58333333333333,5.0,0.0,C,0,55.0,C#,4.0
1386,2.0,,,53.0,64.0,20880,108.75,4.0,5.0,B,150,60.0,C,5.0
1388,2.0,,,60.0,64.0,20936,109.04166666666666,5.0,0.0,C,0,53.0,B,4.0
1390,2.0,,,60.0,64.0,20944,109.08333333333333,5.0,0.0,C,0,60.0,C,5.0
1392,2.0,,,53.0,64.0,20976,109.25,4.0,5.0,B,150,60.0,C,5.0
1394,2.0,,,48.0,64.0,21008,109.41666666666666,4.0,0.0,C,0,53.0,B,4.0
1396,2.0,,,52.0,64.0,21064,109.70833333333333,4.0,4.0,E,120,48.0,C,4.0
1398,2.0,,,55.0,64.0,21120,110.0,4.0,7.0,C#,210,52.0,E,4.0
1400,2.0,,,60.0,64.0,21128,110.04166666666666,5.0,0.0,C,0,55.0,C#,4.0
1402,2.0,,,79.0,64.0,21160,110.20833333333333,6.0,7.0,C#,210,60.0,C,5.0
1404,2.0,,,79.0,64.0,21192,110.375,6.0,7.0,C#,210,79.0,C#,6.0
1406,2.0,,,79.0,64.0,21200,110.41666666666666,6.0,7.0,C#,210,79.0,C#,6.0
1408,2.0,,,55.0,64.0,21232,110.58333333333333,4.0,7.0,C#,210,79.0,C#,6.0
1410,2.0,,,48.0,64.0,21264,110.75,4.0,0.0,C,0,55.0,C#,4.0
1412,2.0,,,55.0,64.0,21320,111.04166666666666,4.0,7.0,C#,210,48.0,C,4.0
1414,2.0,,,60.0,64.0,21376,111.33333333333333,5.0,0.0,C,0,55.0,C#,4.0
1416,2.0,,,53.0,64.0,21408,111.5,4.0,5.0,B,150,60.0,C,5.0
1418,2.0,,,60.0,64.0,21464,111.79166666666666,5.0,0.0,C,0,53.0,B,4.0
1420,2.0,,,60.0,64.0,21472,111.83333333333333,5.0,0.0,C,0,60.0,C,5.0
1422,2.0,,,53.0,64.0,21504,112.0,4.0,5.0,B,150,60.0,C,5.0
1424,2.0,,,48.0,64.0,21536,112.16666666666666,4.0,0.0,C,0,53.0,B,4.0
1426,2.0,,,56.0,64.0,21568,112.33333333333333,4.0,8.0,G#,240,48.0,C,4.0
1428,2.0,,,58.0,64.0,21624,112.625,4.0,10.0,A#,300,56.0,G#,4.0
1430,2.0,,,60.0,64.0,21680,112.91666666666666,5.0,0.0,C,0,58.0,A#,4.0
1432,2.0,,,55.0,64.0,21736,113.20833333333333,4.0,7.0,C#,210,60.0,C,5.0
1434,2.0,,,55.0,64.0,21744,113.25,4.0,7.0,C#,210,55.0,C#,4.0
1436,2.0,,,48.0,64.0,21776,113.41666666666666,4.0,0.0,C,0,55.0,C#,4.0
1438,2.0,,,44.0,64.0,21808,113.58333333333333,3.0,8.0,G#,240,48.0,C,4.0
1440,2.0,,,51.0,64.0,21864,113.875,4.0,3.0,A,90,44.0,G#,3.0
1442,2.0,,,56.0,64.0,21920,114.16666666666666,4.0,8.0,G#,240,51.0,A,4.0
1444,2.0,,,55.0,64.0,21952,114.33333333333333,4.0,7.0,C#,210,56.0,G#,4.0
1446,2.0,,,48.0,64.0,22008,114.625,4.0,0.0,C,0,55.0,C#,4.0
1448,2.0,,,43.0,64.0,22064,114.91666666666666,3.0,7.0,C#,210,48.0,C,4.0
1450,2.0,,,44.0,64.0,22096,115.08333333333333,3.0,8.0,G#,240,43.0,C#,3.0
1452,2.0,,,51.0,64.0,22152,115.375,4.0,3.0,A,90,44.0,G#,3.0
1454,2.0,,,56.0,64.0,22208,115.66666666666666,4.0,8.0,G#,240,51.0,A,4.0
1456,2.0,,,55.0,64.0,22240,115.83333333333333,4.0,7.0,C#,210,56.0,G#,4.0
1458,2.0,,,48.0,64.0,22296,116.125,4.0,0.0,C,0,55.0,C#,4.0
1460,2.0,,,43.0,64.0,22352,116.41666666666666,3.0,7.0,C#,210,48.0,C,4.0
1462,2.0,,,44.0,64.0,22384,116.58333333333333,3.0,8.0,G#,240,43.0,C#,3.0
1464,2.0,,,51.0,64.0,22440,116.875,4.0,3.0,A,90,44.0,G#,3.0
1466,2.0,,,56.0,64.0,22496,117.16666666666666,4.0,8.0,G#,240,51.0,A,4.0
1468,2.0,,,55.0,64.0,22528,117.33333333333333,4.0,7.0,C#,210,56.0,G#,4.0
1470,2.0,,,48.0,64.0,22584,117.625,4.0,0.0,C,0,55.0,C#,4.0
1472,2.0,,,43.0,64.0,22640,117.91666666666666,3.0,7.0,C#,210,48.0,C,4.0
1474,2.0,,,50.0,64.0,22672,118.08333333333333,4.0,2.0,D,60,43.0,C#,3.0
1476,2.0,,,50.0,64.0,22680,118.125,4.0,2.0,D,60,50.0,D,4.0
1478,2.0,,,50.0,64.0,22712,118.29166666666666,4.0,2.0,D,60,50.0,D,4.0
1480,2.0,,,50.0,64.0,22744,118.45833333333333,4.0,2.0,D,60,50.0,D,4.0
1482,2.0,,,50.0,64.0,22752,118.5,4.0,2.0,D,60,50.0,D,4.0
1484,2.0,,,67.0,64.0,22784,118.66666666666666,5.0,7.0,C#,210,50.0,D,4.0
1486,2.0,,,55.0,64.0,22864,119.08333333333333,4.0,7.0,C#,210,67.0,C#,5.0
1488,2.0,,,55.0,64.0,22944,119.5,4.0,7.0,C#,210,55.0,C#,4.0
1490,2.0,,,52.0,64.0,23000,119.79166666666666,4.0,4.0,E,120,55.0,C#,4.0
1492,2.0,,,48.0,64.0,23056,120.08333333333333,4.0,0.0,C,0,52.0,E,4.0
1494,2.0,,,53.0,64.0,23112,120.375,4.0,5.0,B,150,48.0,C,4.0
1496,2.0,,,55.0,64.0,23144,120.54166666666666,4.0,7.0,C#,210,53.0,B,4.0
1498,2.0,,,54.0,64.0,23176,120.70833333333333,4.0,6.0,F#,180,55.0,C#,4.0
1500,2.0,,,53.0,64.0,23184,120.75,4.0,5.0,B,150,54.0,F#,4.0
1502,2.0,,,52.0,64.0,23216,120.91666666666666,4.0,4.0,E,120,53.0,B,4.0
1504,2.0,,,60.0,64.0,23232,121.0,5.0,0.0,C,0,52.0,E,4.0
1506,2.0,,,64.0,64.0,23248,121.08333333333333,5.0,4.0,E,120,60.0,C,5.0
1508,2.0,,,65.0,64.0,23264,121.16666666666666,5.0,5.0,B,150,64.0,E,5.0
1510,2.0,,,62.0,64.0,23296,121.33333333333333,5.0,2.0,D,60,65.0,B,5.0
1512,2.0,,,64.0,64.0,23304,121.375,5.0,4.0,E,120,62.0,D,5.0
1514,2.0,,,60.0,64.0,23336,121.54166666666666,5.0,0.0,C,0,64.0,E,5.0
1516,2.0,,,57.0,64.0,23368,121.70833333333333,4.0,9.0,D#,270,60.0,C,5.0
1518,2.0,,,59.0,64.0,23376,121.75,4.0,11.0,F,330,57.0,D#,4.0
1520,2.0,,,55.0,64.0,23384,121.79166666666666,4.0,7.0,C#,210,59.0,F,4.0
1522,2.0,,,55.0,64.0,23440,122.08333333333333,4.0,7.0,C#,210,55.0,C#,4.0
1524,2.0,,,52.0,64.0,23496,122.375,4.0,4.0,E,120,55.0,C#,4.0
1526,2.0,,,48.0,64.0,23552,122.66666666666666,4.0,0.0,C,0,52.0,E,4.0
1528,2.0,,,53.0,64.0,23608,122.95833333333333,4.0,5.0,B,150,48.0,C,4.0
1530,2.0,,,55.0,64.0,23640,123.125,4.0,7.0,C#,210,53.0,B,4.0
1532,2.0,,,54.0,64.0,23672,123.29166666666666,4.0,6.0,F#,180,55.0,C#,4.0
1534,2.0,,,53.0,64.0,23680,123.33333333333333,4.0,5.0,B,150,54.0,F#,4.0
1536,2.0,,,52.0,64.0,23712,123.5,4.0,4.0,E,120,53.0,B,4.0
1538,2.0,,,60.0,64.0,23728,123.58333333333333,5.0,0.0,C,0,52.0,E,4.0
1540,2.0,,,64.0,64.0,23744,123.66666666666666,5.0,4.0,E,120,60.0,C,5.0
1542,2.0,,,65.0,64.0,23760,123.75,5.0,5.0,B,150,64.0,E,5.0
1544,2.0,,,62.0,64.0,23792,123.91666666666666,5.0,2.0,D,60,65.0,B,5.0
1546,2.0,,,64.0,64.0,23800,123.95833333333333,5.0,4.0,E,120,62.0,D,5.0
1548,2.0,,,60.0,64.0,23832,124.125,5.0,0.0,C,0,64.0,E,5.0
1550,2.0,,,57.0,64.0,23864,124.29166666666666,4.0,9.0,D#,270,60.0,C,5.0
1552,2.0,,,59.0,64.0,23872,124.33333333333333,4.0,11.0,F,330,57.0,D#,4.0
1554,2.0,,,55.0,64.0,23880,124.375,4.0,7.0,C#,210,59.0,F,4.0
1556,2.0,,,48.0,64.0,23936,124.66666666666666,4.0,0.0,C,0,55.0,C#,4.0
1558,2.0,,,54.0,64.0,23992,124.95833333333333,4.0,6.0,F#,180,48.0,C,4.0
1560,2.0,,,55.0,64.0,24000,125.0,4.0,7.0,C#,210,54.0,F#,4.0
1562,2.0,,,60.0,64.0,24032,125.16666666666666,5.0,0.0,C,0,55.0,C#,4.0
1564,2.0,,,53.0,64.0,24064,125.33333333333333,4.0,5.0,B,150,60.0,C,5.0
1566,2.0,,,53.0,64.0,24096,125.5,4.0,5.0,B,150,53.0,B,4.0
1568,2.0,,,60.0,64.0,24128,125.66666666666666,5.0,0.0,C,0,53.0,B,4.0
1570,2.0,,,60.0,64.0,24136,125.70833333333333,5.0,0.0,C,0,60.0,C,5.0
1572,2.0,,,53.0,64.0,24144,125.75,4.0,5.0,B,150,60.0,C,5.0
1574,2.0,,,50.0,64.0,24176,125.91666666666666,4.0,2.0,D,60,53.0,B,4.0
1576,2.0,,,53.0,64.0,24232,126.20833333333333,4.0,5.0,B,150,50.0,D,4.0
1578,2.0,,,55.0,64.0,24240,126.25,4.0,7.0,C#,210,53.0,B,4.0
